MSE: 109921.53830054631 	 - 	RMSE: 331.5441724726078 	 - 	MAE: 316.8894695231 	 - 	Errore medio (%): 23.8446382590%
MSE: 109921.53830054631 	 - 	RMSE: 331.5441724726078 	 - 	MAE: 316.8894695231 	 - 	Errore medio (%): 23.8446382590%
MSE: 40624.478524690734 	 - 	RMSE: 201.5551500822808 	 - 	MAE: 197.2210703495 	 - 	Errore medio (%): 15.1314662147%
MSE: 810158.0 	 - 	RMSE: 900.087773497674 	 - 	MAE: 895.6000000000 	 - 	Errore medio (%): 69.4177044197%
MSE: 810158.0 	 - 	RMSE: 900.087773497674 	 - 	MAE: 895.6000000000 	 - 	Errore medio (%): 69.4177044197%
MSE: 475228.55555555556 	 - 	RMSE: 689.3682292908163 	 - 	MAE: 575.2222222222 	 - 	Errore medio (%): 51.2150337219%
MSE: 475228.55555555556 	 - 	RMSE: 689.3682292908163 	 - 	MAE: 575.2222222222 	 - 	Errore medio (%): 51.2150337219%
MSE: 475228.55555555556 	 - 	RMSE: 689.3682292908163 	 - 	MAE: 575.2222222222 	 - 	Errore medio (%): 51.2150337219%
MSE: 475228.55555555556 	 - 	RMSE: 689.3682292908163 	 - 	MAE: 575.2222222222 	 - 	Errore medio (%): 51.2150337219%
MSE: 475228.55555555556 	 - 	RMSE: 689.3682292908163 	 - 	MAE: 575.2222222222 	 - 	Errore medio (%): 51.2150337219%
MSE: 475228.55555555556 	 - 	RMSE: 689.3682292908163 	 - 	MAE: 575.2222222222 	 - 	Errore medio (%): 51.2150337219%
MSE: 475228.55555555556 	 - 	RMSE: 689.3682292908163 	 - 	MAE: 575.2222222222 	 - 	Errore medio (%): 51.2150337219%
MSE: 19889.822001136534 	 - 	RMSE: 141.0312802222845 	 - 	MAE: 102.7030382450 	 - 	Errore medio (%): 7.3264381069%
MSE: 109921.53830054631 	 - 	RMSE: 331.5441724726078 	 - 	MAE: 316.8894695231 	 - 	Errore medio (%): 23.8446382590%
MSE: 12829.888958106872 	 - 	RMSE: 113.26909974969728 	 - 	MAE: 92.2381592089 	 - 	Errore medio (%): 6.7411014726%
MSE: 40624.478524690734 	 - 	RMSE: 201.5551500822808 	 - 	MAE: 197.2210703495 	 - 	Errore medio (%): 15.1314662147%
MSE: 810158.0 	 - 	RMSE: 900.087773497674 	 - 	MAE: 895.6000000000 	 - 	Errore medio (%): 69.4177044197%
MSE: 4.713545927312782 	 - 	RMSE: 2.171070226250819 	 - 	MAE: 1.7642891719 	 - 	Errore medio (%): 0.0588167424%
MSE: 1405.1638812186218 	 - 	RMSE: 37.485515618951034 	 - 	MAE: 29.5992105521 	 - 	Errore medio (%): 0.9890406802%
MSE: 8059508.319161142 	 - 	RMSE: 2838.927318400586 	 - 	MAE: 2121.2439934265 	 - 	Errore medio (%): 71.1553110143%
